"reldenom","egender","ks2aps","region","instype","totpups","ofstedgrade"
"Non-religious","Mixed",28.1,"East Midlands","Community",590,"Requires Improvement"
"Religious","Mixed",28.3,"East Midlands","Academy",1957,"Good"
"Non-religious","Mixed",27.4,"East Midlands","Academy",1266,"Requires Improvement"
"Religious","Mixed",29.4,"East Midlands","Foundation",1470,"Good"
"Religious","Mixed",28.7,"East Midlands","Academy",1272,"Good"
"Religious","Mixed",28.6,"East Midlands","Academy",1108,"Good"
"Non-religious","Mixed",27.1,"East Midlands","Community",540,"Requires Improvement"
"Religious","Mixed",26.9,"East Midlands","Academy",804,"Inadequate"
"Non-religious","Mixed",26.3,"East Midlands","Community",412,"Requires Improvement"
"Religious","Mixed",26.7,"East Midlands","Foundation",1045,"Requires Improvement"
"Religious","Mixed",28.7,"East Midlands","Academy",1301,"Good"
"Religious","Mixed",26.5,"East Midlands","Academy",739,"Requires Improvement"
"Religious","Mixed",29.5,"East Midlands","Academy",609,"Good"
"Religious","Mixed",29.3,"East Midlands","Academy",1266,"Outstanding"
"Religious","Mixed",28.1,"East Midlands","Voluntary",485,"Inadequate"
"Religious","Mixed",28.2,"East Midlands","Voluntary",398,"Good"
"Non-religious","Mixed",26.9,"East Midlands","Academy",745,"Outstanding"
"Non-religious","Mixed",26.2,"East Midlands","Community",798,"Requires Improvement"
"Non-religious","Mixed",26.8,"East Midlands","Community",1221,"Good"
"Non-religious","Mixed",28.4,"East Midlands","Community",803,"Requires Improvement"
"Non-religious","Mixed",27.3,"East Midlands","Community",1653,"Requires Improvement"
"Non-religious","Mixed",26.2,"East Midlands","Community",413,"Requires Improvement"
"Non-religious","Mixed",27.5,"East Midlands","Community",973,"Inadequate"
"Non-religious","Mixed",27.9,"East Midlands","Community",741,"Requires Improvement"
"Non-religious","Mixed",NA,"East Midlands","Community",81,"Good"
"Non-religious","Mixed",5.6,"East Midlands","Community",136,"Outstanding"
"Non-religious","Mixed",8,"East Midlands","Community",85,"Outstanding"
"Non-religious","Mixed",10.4,"East Midlands","Community",71,"Good"
"Non-religious","Mixed",NA,"East Midlands","Community",80,"Good"
"Non-religious","Mixed",NA,"East Midlands","Community",45,"Good"
"Non-religious","Mixed",3,"East Midlands","Community",84,"Good"
"Non-religious","Mixed",10.4,"East Midlands","Community",167,"Outstanding"
"Non-religious","Mixed",14,"East Midlands","Community",78,"Outstanding"
"Religious","Mixed",24,"East Midlands","Foundation",764,"Good"
"Religious","Mixed",28.8,"East Midlands","Academy",1692,"Good"
"Religious","Mixed",25.2,"East Midlands","Academy",775,"Requires Improvement"
"Religious","Mixed",25.4,"East Midlands","Foundation",549,"Requires Improvement"
"Religious","Mixed",26.9,"East Midlands","Foundation",1533,"Good"
"Non-religious","Mixed",28.5,"East Midlands","Academy",1130,"Outstanding"
"Religious","Mixed",26.5,"East Midlands","Academy",1144,"Requires Improvement"
"Non-religious","Mixed",28.3,"East Midlands","Community",1683,"Outstanding"
"Religious","Mixed",24.8,"East Midlands","Academy",842,"Inadequate"
"Religious","Mixed",26.1,"East Midlands","Foundation",841,"Good"
"Religious","Mixed",26.5,"East Midlands","Foundation",1154,"Requires Improvement"
"Religious","Mixed",26.4,"East Midlands","Academy",1429,"Good"
"Religious","Mixed",27.7,"East Midlands","Academy",1248,"Outstanding"
"Religious","Mixed",28.6,"East Midlands","Academy",1270,"Good"
"Non-religious","Mixed",3,"East Midlands","Community",83,"Requires Improvement"
"Non-religious","Mixed",20.1,"East Midlands","Community",45,"Requires Improvement"
"Non-religious","Mixed",NA,"East Midlands","Other",133,"Inadequate"
"Non-religious","Mixed",6,"East Midlands","Community",100,"Good"
"Non-religious","Mixed",11.5,"East Midlands","Community",96,"Outstanding"
"Non-religious","Mixed",13.3,"East Midlands","Community",132,"Outstanding"
"Religious","Mixed",28.4,"South West","Voluntary",830,"Good"
"Religious","Mixed",26.7,"South West","Voluntary",674,"Good"
"Religious","Mixed",27.8,"South West","Voluntary",986,"Good"
"Religious","Mixed",29.1,"South West","Foundation",1786,"Outstanding"
"Non-religious","Mixed",26.3,"South West","Community",896,"Inadequate"
"Religious","Mixed",27.6,"South West","Voluntary",1762,"Good"
"Religious","Mixed",28.1,"South West","Academy",1632,"Good"
"Religious","Mixed",28.8,"South West","Academy",1463,"Good"
"Non-religious","Mixed",27.6,"South West","Academy",1157,"Good"
"Religious","Mixed",27.9,"South West","Foundation",1443,"Good"
"Religious","Mixed",NA,"South West","Academy",414,"Requires Improvement"
"Non-religious","Mixed",26,"South West","Community",996,"Good"
"Religious","Mixed",27.3,"South West","Academy",1103,"Good"
"Non-religious","Mixed",27.7,"South West","Community",500,"Good"
"Religious","Mixed",NA,"South West","Academy",190,"Good"
"Religious","Mixed",28,"South West","Academy",2178,"Outstanding"
"Non-religious","Mixed",27.7,"South West","Academy",1622,"Outstanding"
"Religious","Mixed",26.6,"South West","Academy",765,"Requires Improvement"
"Religious","Mixed",28.9,"South West","Foundation",1024,"Outstanding"
"Non-religious","Mixed",10.7,"South West","Foundation",161,"Outstanding"
"Non-religious","Mixed",NA,"South West","Community",44,"Requires Improvement"
"Non-religious","Mixed",NA,"South West","Other",52,"Good"
"Non-religious","Mixed",14.6,"South West","Foundation",178,"Outstanding"
"Non-religious","Mixed",3.7,"South West","Academy",85,"Good"
"Non-religious","Mixed",12.8,"South West","Community",125,"Outstanding"
"Non-religious","Mixed",25.3,"South West","Academy",377,"Requires Improvement"
"Religious","Mixed",27.5,"South West","Academy",1462,"Good"
"Non-religious","Mixed",25.8,"South West","Academy",618,"Outstanding"
"Religious","Single-sex",32.1,"South West","Academy",1244,"Good"
"Religious","Single-sex",31.9,"South West","Academy",1186,"Outstanding"
"Religious","Mixed",26.9,"South West","Foundation",1851,"Requires Improvement"
"Religious","Mixed",24.8,"South West","Academy",454,"Inadequate"
"Religious","Mixed",27.9,"South West","Voluntary",1085,"Good"
"Non-religious","Mixed",NA,"South West","Other",24,"Good"
"Non-religious","Mixed",NA,"South West","Academy",68,"Requires Improvement"
"Non-religious","Mixed",NA,"South West","Other",79,"Outstanding"
"Non-religious","Mixed",11,"South West","Community",104,"Good"
"Religious","Single-sex",26.7,"South West","Academy",1091,"Good"
"Religious","Mixed",27,"South West","Academy",862,"Good"
"Non-religious","Mixed",26.2,"South West","Academy",741,"Good"
"Religious","Single-sex",32.7,"South West","Academy",1116,"Outstanding"
"Religious","Single-sex",32.7,"South West","Academy",1140,"Outstanding"
"Religious","Single-sex",27.1,"South West","Academy",597,"Good"
"Religious","Single-sex",26.4,"South West","Academy",629,"Good"
"Non-religious","Mixed",27,"South West","Other",306,"Good"
"Religious","Mixed",26.1,"South West","Academy",884,"Good"
"Religious","Mixed",27.9,"South West","Academy",1547,"Good"
"Religious","Single-sex",26.9,"South West","Academy",631,"Good"
"Non-religious","Mixed",8.3,"South West","Community",262,"Outstanding"
"Non-religious","Mixed",22.3,"South West","Academy",140,"Outstanding"
"Non-religious","Mixed",28.3,"North East","Academy",1148,"Outstanding"
"Non-religious","Mixed",27.5,"North East","Community",727,"Good"
"Non-religious","Mixed",27.8,"North East","Community",682,"Good"
"Religious","Mixed",27.1,"North East","Academy",1201,"Requires Improvement"
"Non-religious","Mixed",26.6,"North East","Community",599,"Good"
"Non-religious","Mixed",24.9,"North East","Community",440,"Inadequate"
"Non-religious","Mixed",28.7,"North East","Community",1503,"Outstanding"
"Non-religious","Mixed",27.8,"North East","Academy",717,"Good"
"Non-religious","Mixed",26.4,"North East","Community",570,"Good"
"Non-religious","Mixed",28.8,"North East","Academy",1052,"Good"
"Non-religious","Mixed",26.7,"North East","Community",373,"Inadequate"
"Religious","Mixed",27.1,"North East","Foundation",1020,"Good"
"Religious","Mixed",28.6,"North East","Academy",1091,"Outstanding"
"Non-religious","Mixed",27.6,"North East","Academy",765,"Requires Improvement"
"Non-religious","Mixed",26.7,"North East","Academy",1148,"Requires Improvement"
"Non-religious","Mixed",28.3,"North East","Academy",1381,"Good"
"Non-religious","Mixed",26.4,"North East","Academy",702,"Outstanding"
"Religious","Mixed",27.6,"North East","Voluntary",859,"Requires Improvement"
"Religious","Mixed",28.1,"North East","Academy",1504,"Outstanding"
"Religious","Mixed",29,"North East","Academy",1328,"Outstanding"
"Religious","Mixed",29.4,"North East","Voluntary",1348,"Good"
"Non-religious","Mixed",26.7,"North East","Community",813,"Good"
"Non-religious","Mixed",28.3,"North East","Community",922,"Good"
"Non-religious","Mixed",28.1,"North East","Academy",538,"Requires Improvement"
"Non-religious","Mixed",27.8,"North East","Community",527,"Good"
"Non-religious","Mixed",28.6,"North East","Academy",636,"Requires Improvement"
"Non-religious","Mixed",26.9,"North East","Community",497,"Good"
"Religious","Mixed",28,"North East","Foundation",1054,"Good"
"Non-religious","Mixed",28.3,"North East","Community",622,"Good"
"Religious","Mixed",27.4,"North East","Academy",746,"Good"
"Non-religious","Mixed",13.9,"North East","Community",88,"Good"
"Non-religious","Mixed",8.8,"North East","Community",202,"Requires Improvement"
"Non-religious","Mixed",18.9,"North East","Community",77,"Good"
"Non-religious","Mixed",11.8,"North East","Academy",191,"Inadequate"
"Non-religious","Mixed",21.6,"North East","Community",55,"Good"
"Non-religious","Mixed",13.6,"North East","Community",246,"Outstanding"
"Non-religious","Mixed",5,"North East","Community",83,"Good"
"Non-religious","Single-sex",19.7,"North East","Community",78,"Good"
"Religious","Mixed",29.4,"North East","Academy",1217,"Outstanding"
"Religious","Mixed",26.4,"North East","Academy",494,"Requires Improvement"
"Non-religious","Mixed",26.9,"North East","Academy",736,"Requires Improvement"
"Non-religious","Mixed",29,"North East","Academy",1200,"Good"
"Religious","Mixed",28.3,"North East","Academy",682,"Outstanding"
"Non-religious","Mixed",27.5,"North East","Academy",884,"Good"
"Religious","Mixed",26.9,"North East","Academy",576,"Inadequate"
"Non-religious","Mixed",11.5,"North East","Academy",246,"Good"
"Non-religious","Single-sex",27.2,"South East","Academy",1018,"Requires Improvement"
"Religious","Single-sex",27,"South East","Academy",920,"Requires Improvement"
"Non-religious","Mixed",27,"South East","Academy",1366,"Good"
"Non-religious","Mixed",26.1,"South East","Academy",1159,"Requires Improvement"
"Religious","Mixed",27.8,"South East","Voluntary",1025,"Good"
"Non-religious","Mixed",25.5,"South East","Community",741,"Good"
"Non-religious","Mixed",26.8,"South East","Academy",877,"Good"
"Non-religious","Mixed",27.7,"South East","Community",709,"Good"
"Non-religious","Mixed",27.7,"South East","Community",1153,"Outstanding"
"Non-religious","Mixed",24.9,"South East","Academy",614,"Good"
"Religious","Mixed",NA,"South East","Academy",357,"Outstanding"
"Religious","Mixed",26.9,"South East","Academy",1120,"Good"
"Non-religious","Mixed",25.3,"South East","Academy",812,"Good"
"Non-religious","Mixed",27.8,"South East","Community",1411,"Good"
"Non-religious","Mixed",25.6,"South East","Community",889,"Requires Improvement"
"Non-religious","Mixed",28.3,"South East","Foundation",1160,"Good"
"Non-religious","Mixed",27,"South East","Academy",1165,"Good"
"Non-religious","Mixed",27.4,"South East","Academy",677,"Requires Improvement"
"Non-religious","Mixed",27.2,"South East","Community",634,"Good"
"Non-religious","Mixed",26.5,"South East","Academy",660,"Good"
"Religious","Mixed",25.6,"South East","Other",126,"Outstanding"
"Non-religious","Mixed",25.9,"South East","Academy",1275,"Good"
"Religious","Mixed",28.2,"South East","Voluntary",996,"Outstanding"
"Non-religious","Mixed",27,"South East","Academy",1177,"Good"
"Non-religious","Mixed",28.3,"South East","Community",1714,"Good"
"Non-religious","Mixed",27.7,"South East","Community",908,"Good"
"Non-religious","Mixed",27.6,"South East","Community",997,"Good"
"Non-religious","Mixed",NA,"South East","Other",73,"Outstanding"
"Non-religious","Single-sex",18.2,"South East","Community",65,"Outstanding"
"Non-religious","Mixed",3.8,"South East","Academy",123,"Outstanding"
"Non-religious","Mixed",5.6,"South East","Community",101,"Good"
"Non-religious","Mixed",3,"South East","Community",82,"Requires Improvement"
"Non-religious","Mixed",9,"South East","Community",86,"Good"
"Non-religious","Mixed",20.5,"South East","Community",69,"Outstanding"
"Non-religious","Single-sex",21.2,"South East","Community",67,"Good"
"Religious","Mixed",NA,"South East","Other",104,"Inadequate"
"Non-religious","Mixed",28.6,"South East","Community",1657,"Good"
"Non-religious","Mixed",24.2,"South East","Academy",575,"Requires Improvement"
"Religious","Mixed",29,"South East","Voluntary",2235,"Good"
"Non-religious","Mixed",29.5,"South East","Community",1642,"Good"
"Non-religious","Mixed",28.1,"South East","Community",1655,"Good"
"Religious","Mixed",NA,"South East","Academy",179,"Good"
"Non-religious","Mixed",27.3,"South East","Community",1089,"Requires Improvement"
"Non-religious","Mixed",28.5,"South East","Community",1025,"Good"
"Non-religious","Mixed",27.1,"South East","Academy",651,"Requires Improvement"
"Non-religious","Mixed",28.1,"South East","Community",1350,"Good"
"Non-religious","Mixed",14.4,"South East","Community",75,"Good"
"Non-religious","Mixed",12.8,"South East","Community",89,"Good"
"Non-religious","Mixed",NA,"South East","Community",119,"Outstanding"
"Non-religious","Mixed",NA,"South East","Other",64,"Good"
"Non-religious","Mixed",NA,"South East","Community",70,"Outstanding"
"Non-religious","Mixed",18.7,"South East","Community",40,"Good"
"Non-religious","Mixed",20.6,"South East","Community",38,"Good"
"Non-religious","Mixed",NA,"South East","Other",25,"Good"
"Non-religious","Mixed",27.5,"South East","Community",934,"Good"
"Non-religious","Mixed",27,"South East","Academy",855,"Good"
"Religious","Mixed",27,"South East","Foundation",633,"Good"
"Religious","Mixed",28,"South East","Academy",1140,"Outstanding"
"Religious","Mixed",27.1,"South East","Academy",2187,"Good"
"Religious","Mixed",29.5,"South East","Voluntary",805,"Good"
"Religious","Mixed",28.3,"South East","Academy",1571,"Outstanding"
"Religious","Mixed",25.9,"South East","Academy",600,"Inadequate"
"Non-religious","Mixed",28,"South East","Community",650,"Requires Improvement"
"Non-religious","Mixed",28.6,"South East","Community",1660,"Good"
"Religious","Mixed",26.3,"South East","Foundation",1405,"Requires Improvement"
"Religious","Mixed",28.8,"South East","Academy",1032,"Good"
"Non-religious","Mixed",29.4,"South East","Community",1080,"Good"
"Religious","Mixed",28.9,"South East","Academy",1102,"Outstanding"
"Non-religious","Mixed",28.6,"South East","Community",472,"Good"
"Non-religious","Mixed",25.4,"South East","Community",537,"Requires Improvement"
"Religious","Mixed",28.8,"South East","Academy",1082,"Good"
"Non-religious","Mixed",29.4,"South East","Community",1089,"Good"
"Non-religious","Mixed",27.7,"South East","Community",970,"Inadequate"
"Religious","Mixed",26.6,"South East","Academy",938,"Good"
"Non-religious","Mixed",27.2,"South East","Community",706,"Good"
"Non-religious","Mixed",27.5,"South East","Community",623,"Good"
"Religious","Mixed",28.2,"South East","Foundation",1095,"Good"
"Religious","Mixed",27,"South East","Foundation",707,"Requires Improvement"
"Non-religious","Mixed",27.9,"South East","Academy",774,"Outstanding"
"Religious","Mixed",26.4,"South East","Academy",598,"Requires Improvement"
"Non-religious","Mixed",27.5,"South East","Academy",641,"Good"
"Non-religious","Mixed",27.4,"South East","Community",700,"Requires Improvement"
"Non-religious","Mixed",26.7,"South East","Community",558,"Requires Improvement"
"Non-religious","Mixed",27.1,"South East","Community",592,"Good"
"Non-religious","Mixed",27.4,"South East","Community",923,"Requires Improvement"
"Non-religious","Mixed",26.6,"South East","Community",867,"Good"
"Non-religious","Mixed",24.5,"South East","Academy",341,"Good"
"Religious","Mixed",27.4,"South East","Foundation",547,"Requires Improvement"
"Non-religious","Mixed",28.5,"South East","Community",1003,"Good"
"Non-religious","Mixed",27.6,"South East","Community",850,"Good"
"Non-religious","Mixed",27.4,"South East","Community",1116,"Good"
"Religious","Mixed",28.1,"South East","Academy",1220,"Good"
"Non-religious","Mixed",28.4,"South East","Community",949,"Good"
"Non-religious","Mixed",28.5,"South East","Community",875,"Requires Improvement"
"Non-religious","Mixed",29.3,"South East","Community",1656,"Outstanding"
"Non-religious","Mixed",28.5,"South East","Academy",1425,"Good"
"Religious","Mixed",28.1,"South East","Academy",411,"Inadequate"
"Non-religious","Mixed",28,"South East","Academy",998,"Good"
"Religious","Mixed",28.7,"South East","Academy",1377,"Good"
"Non-religious","Mixed",25.8,"South East","Community",901,"Requires Improvement"
"Religious","Mixed",28.7,"South East","Academy",1023,"Good"
"Religious","Mixed",28.1,"South East","Academy",1259,"Good"
"Non-religious","Mixed",27,"South East","Community",654,"Good"
"Non-religious","Mixed",28.7,"South East","Academy",1179,"Good"
"Religious","Mixed",27,"South East","Foundation",667,"Good"
"Non-religious","Mixed",24.9,"South East","Community",337,"Good"
"Religious","Mixed",29.1,"South East","Academy",1637,"Good"
"Religious","Mixed",28.7,"South East","Academy",1193,"Good"
"Non-religious","Mixed",28,"South East","Academy",1083,"Good"
"Non-religious","Mixed",29.2,"South East","Community",1183,"Good"
"Non-religious","Mixed",28.3,"South East","Community",584,"Good"
"Religious","Mixed",29,"South East","Foundation",775,"Outstanding"
"Religious","Mixed",26.4,"South East","Academy",689,"Good"
"Non-religious","Mixed",29.8,"South East","Academy",1417,"Outstanding"
"Non-religious","Mixed",27.4,"South East","Community",771,"Requires Improvement"
"Non-religious","Mixed",25.7,"South East","Community",467,"Requires Improvement"
"Non-religious","Mixed",27.4,"South East","Community",674,"Good"
"Non-religious","Mixed",27.5,"South East","Community",932,"Good"
"Non-religious","Mixed",28.7,"South East","Community",1208,"Good"
"Religious","Mixed",28.5,"South East","Academy",1855,"Outstanding"
"Non-religious","Mixed",26,"South East","Academy",448,"Inadequate"
"Non-religious","Mixed",27.5,"South East","Academy",1241,"Good"
"Non-religious","Mixed",28.6,"South East","Community",1626,"Good"
"Non-religious","Mixed",12.6,"South East","Community",168,"Good"
"Non-religious","Mixed",15.9,"South East","Academy",188,"Outstanding"
"Non-religious","Mixed",NA,"South East","Community",113,"Good"
"Non-religious","Mixed",15.7,"South East","Community",86,"Outstanding"
"Non-religious","Mixed",3.8,"South East","Community",128,"Outstanding"
"Non-religious","Mixed",13.3,"South East","Community",118,"Good"
"Non-religious","Mixed",NA,"South East","Community",82,"Outstanding"
"Non-religious","Single-sex",20.7,"South East","Community",73,"Outstanding"
"Non-religious","Mixed",NA,"South East","Community",85,"Good"
"Non-religious","Single-sex",18.3,"South East","Academy",49,"Good"
"Non-religious","Mixed",16.1,"South East","Community",73,"Good"
"Non-religious","Mixed",16.6,"South East","Community",140,"Good"
"Non-religious","Mixed",12.3,"South East","Community",147,"Good"
"Non-religious","Single-sex",18.1,"South East","Community",54,"Good"
"Non-religious","Mixed",3.4,"South East","Community",74,"Good"
"Non-religious","Mixed",4,"South East","Community",89,"Good"
"Non-religious","Mixed",14.7,"South East","Community",135,"Good"
"Non-religious","Mixed",NA,"South East","Other",93,"Good"
"Non-religious","Mixed",27.9,"South East","Academy",992,"Good"
"Religious","Mixed",25.4,"South East","Academy",538,"Good"
"Religious","Mixed",24.6,"South East","Foundation",640,"Good"
"Non-religious","Mixed",27.2,"South East","Community",1073,"Requires Improvement"
"Non-religious","Single-sex",26.5,"South East","Academy",621,"Requires Improvement"
"Religious","Mixed",27.3,"South East","Voluntary",815,"Good"
"Non-religious","Mixed",27.7,"South East","Community",1117,"Good"
"Non-religious","Mixed",22.2,"South East","Community",98,"Good"
"Non-religious","Mixed",NA,"South East","Academy",143,"Outstanding"
"Non-religious","Mixed",11.9,"South East","Community",140,"Good"
"Non-religious","Mixed",27.3,"South East","Community",1613,"Good"
"Non-religious","Mixed",26.3,"South East","Community",856,"Good"
"Religious","Mixed",25.4,"South East","Foundation",480,"Good"
"Religious","Mixed",26,"South East","Academy",501,"Requires Improvement"
"Religious","Mixed",26.1,"South East","Academy",671,"Requires Improvement"
"Non-religious","Mixed",26.5,"South East","Community",1006,"Outstanding"
"Non-religious","Mixed",26.8,"South East","Foundation",649,"Good"
"Religious","Single-sex",27.9,"South East","Academy",1080,"Good"
"Religious","Mixed",27.1,"South East","Voluntary",588,"Good"
"Non-religious","Mixed",27.1,"South East","Community",1031,"Good"
"Religious","Mixed",27.6,"South East","Academy",760,"Good"
"Non-religious","Mixed",26.4,"South East","Community",563,"Requires Improvement"
"Non-religious","Mixed",NA,"South East","Community",62,"Good"
"Non-religious","Mixed",10.7,"South East","Foundation",161,"Good"
"Non-religious","Single-sex",19.3,"South East","Community",54,"Requires Improvement"
"Non-religious","Mixed",NA,"South East","Academy",45,"Outstanding"
"Religious","Mixed",28.5,"East Midlands","Academy",1714,"Good"
"Non-religious","Mixed",27.6,"East Midlands","Academy",2108,"Outstanding"
"Religious","Mixed",28.6,"East Midlands","Academy",1047,"Good"
"Religious","Mixed",27.2,"East Midlands","Academy",1181,"Good"
"Religious","Mixed",NA,"East Midlands","Academy",879,"Good"
"Religious","Mixed",NA,"East Midlands","Academy",501,"Good"
"Non-religious","Mixed",28,"East Midlands","Academy",1014,"Requires Improvement"
"Religious","Mixed",28.8,"East Midlands","Academy",1259,"Good"
"Non-religious","Mixed",28.3,"East Midlands","Academy",855,"Good"
"Non-religious","Mixed",NA,"East Midlands","Academy",548,"Outstanding"
"Non-religious","Mixed",26.2,"East Midlands","Community",579,"Good"
"Non-religious","Mixed",27.5,"East Midlands","Academy",836,"Good"
"Religious","Mixed",28.2,"East Midlands","Academy",1659,"Good"
"Non-religious","Mixed",27.7,"East Midlands","Academy",1086,"Good"
"Non-religious","Mixed",NA,"East Midlands","Academy",594,"Good"
"Non-religious","Mixed",26,"East Midlands","Academy",901,"Good"
"Non-religious","Mixed",26.7,"East Midlands","Academy",621,"Good"
"Religious","Mixed",28.6,"East Midlands","Academy",580,"Inadequate"
"Religious","Mixed",28.7,"East Midlands","Academy",1753,"Good"
"Non-religious","Mixed",NA,"East Midlands","Academy",672,"Outstanding"
"Non-religious","Mixed",NA,"East Midlands","Academy",752,"Outstanding"
"Non-religious","Mixed",28.4,"East Midlands","Academy",907,"Requires Improvement"
"Non-religious","Mixed",26,"East Midlands","Other",179,"Outstanding"
"Religious","Mixed",28.8,"East Midlands","Academy",1431,"Requires Improvement"
"Non-religious","Mixed",NA,"East Midlands","Academy",546,"Good"
"Non-religious","Mixed",28.9,"East Midlands","Academy",1260,"Requires Improvement"
"Non-religious","Mixed",NA,"East Midlands","Academy",502,"Good"
"Religious","Mixed",NA,"East Midlands","Academy",385,"Good"
"Non-religious","Mixed",NA,"East Midlands","Academy",609,"Outstanding"
"Religious","Mixed",25.8,"East Midlands","Academy",867,"Good"
"Non-religious","Mixed",24.9,"East Midlands","Other",97,"Requires Improvement"
"Non-religious","Mixed",NA,"East Midlands","Academy",709,"Outstanding"
"Non-religious","Mixed",25.3,"East Midlands","Academy",844,"Inadequate"
"Non-religious","Mixed",27.6,"East Midlands","Academy",741,"Good"
"Non-religious","Mixed",27.6,"East Midlands","Academy",1150,"Good"
"Non-religious","Mixed",NA,"East Midlands","Community",115,"Outstanding"
"Non-religious","Mixed",7.1,"East Midlands","Community",141,"Good"
"Non-religious","Mixed",11.8,"East Midlands","Academy",240,"Outstanding"
"Non-religious","Mixed",7,"East Midlands","Academy",196,"Outstanding"
"Non-religious","Mixed",12.7,"East Midlands","Community",153,"Good"
"Non-religious","Mixed",7.8,"East Midlands","Academy",174,"Outstanding"
"Religious","Mixed",24.6,"East Midlands","Foundation",876,"Outstanding"
"Non-religious","Mixed",26.5,"East Midlands","Community",1023,"Good"
"Non-religious","Mixed",27,"East Midlands","Community",1494,"Requires Improvement"
"Non-religious","Mixed",26.9,"East Midlands","Community",1198,"Good"
"Religious","Mixed",27.7,"East Midlands","Voluntary",1072,"Good"
"Religious","Mixed",24.7,"East Midlands","Foundation",880,"Good"
"Non-religious","Mixed",25.5,"East Midlands","Community",1064,"Good"
"Non-religious","Mixed",28.1,"East Midlands","Community",1202,"Good"
"Non-religious","Single-sex",27.4,"East Midlands","Community",847,"Requires Improvement"
"Religious","Single-sex",28,"East Midlands","Voluntary",303,"Requires Improvement"
"Religious","Single-sex",27.8,"East Midlands","Voluntary",307,"Good"
"Non-religious","Mixed",26.9,"East Midlands","Community",1056,"Good"
"Religious","Mixed",25.7,"East Midlands","Foundation",781,"Good"
"Non-religious","Mixed",27.7,"East Midlands","Community",1415,"Outstanding"
"Religious","Mixed",28,"East Midlands","Voluntary",1069,"Good"
"Religious","Mixed",24.7,"East Midlands","Academy",916,"Inadequate"
"Non-religious","Single-sex",27.4,"East Midlands","Community",1160,"Outstanding"
"Non-religious","Mixed",27.3,"East Midlands","Community",1269,"Outstanding"
"Non-religious","Mixed",14.2,"East Midlands","Academy",124,"Outstanding"
"Non-religious","Mixed",11.5,"East Midlands","Community",218,"Good"
"Non-religious","Mixed",18.5,"East Midlands","Community",80,"Good"
"Non-religious","Mixed",20.1,"East Midlands","Community",51,"Good"
"Non-religious","Mixed",3.5,"East Midlands","Foundation",91,"Good"
"Non-religious","Mixed",8.9,"East Midlands","Foundation",184,"Good"
"Religious","Mixed",28,"East Midlands","Academy",984,"Requires Improvement"
"Religious","Mixed",27.6,"East Midlands","Academy",884,"Outstanding"
"Religious","Mixed",28.6,"East Midlands","Academy",887,"Good"
"Religious","Mixed",26.8,"West Midlands","Voluntary",642,"Requires Improvement"
"Non-religious","Mixed",27.8,"West Midlands","Academy",842,"Good"
"Non-religious","Mixed",27,"West Midlands","Academy",774,"Good"
"Religious","Mixed",28.2,"West Midlands","Voluntary",714,"Requires Improvement"
"Religious","Mixed",28.5,"West Midlands","Voluntary",783,"Good"
"Non-religious","Mixed",28.1,"West Midlands","Foundation",1024,"Requires Improvement"
"Religious","Mixed",26.5,"West Midlands","Academy",998,"Requires Improvement"
"Religious","Mixed",28.6,"West Midlands","Voluntary",889,"Good"
"Non-religious","Mixed",27.8,"West Midlands","Community",1298,"Good"
"Non-religious","Mixed",28.6,"West Midlands","Academy",614,"Requires Improvement"
"Non-religious","Mixed",28.1,"West Midlands","Community",1279,"Good"
"Non-religious","Mixed",26.2,"West Midlands","Academy",588,"Good"
"Non-religious","Mixed",28.8,"West Midlands","Foundation",984,"Good"
"Non-religious","Mixed",27.6,"West Midlands","Community",989,"Good"
"Non-religious","Mixed",28.1,"West Midlands","Academy",1997,"Good"
"Non-religious","Mixed",28.4,"West Midlands","Community",701,"Good"
"Religious","Mixed",28.3,"West Midlands","Academy",918,"Good"
"Religious","Mixed",27,"West Midlands","Academy",691,"Good"
"Non-religious","Mixed",28.6,"West Midlands","Community",1194,"Good"
"Non-religious","Mixed",26.9,"West Midlands","Community",940,"Requires Improvement"
"Religious","Mixed",27.1,"West Midlands","Academy",595,"Requires Improvement"
"Non-religious","Mixed",28,"West Midlands","Other",517,"Good"
"Non-religious","Mixed",29,"West Midlands","Academy",1452,"Outstanding"
"Non-religious","Mixed",27.1,"West Midlands","Community",781,"Requires Improvement"
"Non-religious","Mixed",29.1,"West Midlands","Community",1398,"Good"
"Religious","Mixed",27.7,"West Midlands","Foundation",1244,"Good"
"Non-religious","Mixed",27.6,"West Midlands","Academy",822,"Good"
"Religious","Mixed",27.5,"West Midlands","Academy",627,"Good"
"Non-religious","Mixed",26,"West Midlands","Foundation",427,"Good"
"Non-religious","Mixed",27.7,"West Midlands","Academy",623,"Good"
"Non-religious","Mixed",27.9,"West Midlands","Community",774,"Requires Improvement"
"Non-religious","Mixed",25.5,"West Midlands","Foundation",363,"Good"
"Non-religious","Mixed",27.1,"West Midlands","Community",612,"Good"
"Non-religious","Mixed",26.9,"West Midlands","Community",405,"Requires Improvement"
"Non-religious","Mixed",27.1,"West Midlands","Community",909,"Requires Improvement"
"Religious","Mixed",28.5,"West Midlands","Academy",1186,"Outstanding"
"Non-religious","Mixed",26.4,"West Midlands","Community",745,"Requires Improvement"
"Non-religious","Mixed",27.9,"West Midlands","Academy",916,"Good"
"Religious","Mixed",26.4,"West Midlands","Academy",94,"Good"
"Religious","Mixed",28.1,"West Midlands","Academy",946,"Good"
